Restaurant_ID,Restaurant_name,Cuisines,Address,Locality_verbose,Locality,City,Country_ID,Average_cost_for_two,Price_range,Aggregate_rating,Rating_text,Votes,Delivering_now,Online_delivery,Table_booking,order_menu,Menu_url,Events_url,Longitude,Latitude,Currency
18465571,Smoke Trailer Grill,American,"15C, Ashoka Avenue, Sainik Farms, New Delhi","Sainik Farms, New Delhi",Sainik Farms,New Delhi,1,400,1,0,Not rated,0,0,0,0,,https://www.zomato.com/ncr/smoke-trailer-grill-sainik-farms-new-delhi/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,77.2233866377,28.51195551,,
18470757,Rasoi - The Indian Zaika,North Indian,"Paryavaran Complex, Near Vidyasagar Hospital, Sainik Farms, New Delhi","Sainik Farms, New Delhi",Sainik Farms,New Delhi,1,350,1,0,Not rated,0,0,0,0,,https://www.zomato.com/ncr/rasoi-the-indian-zaika-sainik-farms-new-delhi/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,77.2046316000,28.5144607,,
18355145,Janta Canteen,North Indian,"Maidangarhi Bus Stand, IGNOU Road, Sainik Farms, New Delhi","Sainik Farms, New Delhi",Sainik Farms,New Delhi,1,150,1,0,Not rated,0,0,0,0,,https://www.zomato.com/ncr/janta-canteen-sainik-farms-new-delhi/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,77.1970375255,28.50085983,,
18355143,Shree Balaji Bhojnalaya,North Indian,"Maidangarhi Bus Stand, IGNOU Road, Sainik Farms, New Delhi","Sainik Farms, New Delhi",Sainik Farms,New Delhi,1,100,1,0,Not rated,0,0,0,0,,https://www.zomato.com/ncr/shree-balaji-bhojnalaya-sainik-farms-new-delhi/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,77.1967357770,28.50050685,,
18355147,Star Restaurant,North Indian,"Westend Marg, Saidullajab, Sainik Farms, New Delhi","Sainik Farms, New Delhi",Sainik Farms,New Delhi,1,100,1,0,Not rated,0,0,0,0,,https://www.zomato.com/ncr/star-restaurant-sainik-farms-new-delhi/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,77.1985600144,28.51784764,,
18354987,Foodies,North Indian,"Shop 21, Paryavaran Complex, Near Vidya Sagar Hospital, IGNOU Road, Sainik Farms, New Delhi","Sainik Farms, New Delhi",Sainik Farms,New Delhi,1,350,1,0,Not rated,0,0,0,0,,https://www.zomato.com/ncr/foodies-sainik-farms-new-delhi/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,77.2046754509,28.51453131,,
18303708,Spice Treat,Chinese,"Lane 3, West End Marg, Sainik Farms, New Delhi","Sainik Farms, New Delhi",Sainik Farms,New Delhi,1,250,1,0,Not rated,0,0,0,0,,https://www.zomato.com/ncr/spice-treat-sainik-farms-new-delhi/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,77.1993586421,28.51725461,,
18471278,BonJuz,"Healthy Food, Juices","Flat 2, Plot A-6, Anupam Enclave, Phase 1, Saidulajab Extension, IGNOU Road, Sainik Farms, New Delhi","Sainik Farms, New Delhi",Sainik Farms,New Delhi,1,200,1,0,Not rated,0,0,0,0,,https://www.zomato.com/ncr/bonjuz-sainik-farms-new-delhi/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,0.0000000000,0,,
18419682,Yaadgaar,"Fast Food, North Indian","Gali 2, Neb Sarai, IGNOU Road, Sainik Farms, New Delhi","Sainik Farms, New Delhi",Sainik Farms,New Delhi,1,300,1,0,Not rated,0,0,0,0,,https://www.zomato.com/ncr/yaadgaar-sainik-farms-new-delhi/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,0.0000000000,0,,
18492960,Mouthmatics ,North Indian,"A1/75, Freedom Fighter Enclave, IGNOU Road, Neb Sarai, Sainik Farms, New Delhi","Sainik Farms, New Delhi",Sainik Farms,New Delhi,1,200,1,0,Not rated,0,0,0,0,,https://www.zomato.com/ncr/mouthmatics-sainik-farms-new-delhi/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,0.0000000000,0,,
311821,The Twisted Bakery,"Bakery, Desserts","J-107, Western Avenue, Sainik Farms, New Delhi","Sainik Farms, New Delhi",Sainik Farms,New Delhi,1,400,1,0,Not rated,0,0,0,0,,https://www.zomato.com/ncr/the-twisted-bakery-sainik-farms-new-delhi/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,0.0000000000,0,,
18414500,Tiffino Mania,"North Indian, Chinese, South Indian","Forest Lane, Sainik Farms, New Delhi","Sainik Farms, New Delhi",Sainik Farms,New Delhi,1,300,1,0,Not rated,0,0,0,0,,https://www.zomato.com/ncr/tiffino-mania-sainik-farms-new-delhi/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,0.0000000000,0,,
